year,sector,subsector,is_sector_level,industry_name,industry_id,business_receipts,cost_goods_sold,advertising,gross_profit,ad_revenue_ratio,ad_gross_profit_ratio
2014,all industries,NA,TRUE,all industries,all_industries|_total,28075177764,17850424254,295420565,10224753510,0.01052248243923176,0.028892683301467676
2014,"agriculture, forestry, fishing, and hunting",total,TRUE,"agriculture, forestry, fishing, and hunting",agriculture_forestry_fishing_and_hunting|_total,193797756,106596513,456893,87201243,0.0023575763178599446,0.005239523936602601
2014,"agriculture, forestry, fishing, and hunting",agricultural production,FALSE,agricultural production,agriculture_forestry_fishing_and_hunting|agricultural_production,134026880,68945022,370888,65081858,0.002767265790265356,0.005698792434598287
2014,"agriculture, forestry, fishing, and hunting",forestry and logging,FALSE,forestry and logging,agriculture_forestry_fishing_and_hunting|forestry_and_logging,15771648,9696865,15509,6074783,9.83346825899234e-4,0.002553013004744367
2014,"agriculture, forestry, fishing, and hunting","support activities and fishing, hunting, and trapping",FALSE,"support activities and fishing, hunting, and trapping",agriculture_forestry_fishing_and_hunting|support_activities_and_fishing_hunting_and_trapping,43999228,27954626,70495,16044602,0.0016021872020118171,0.004393689541192732
2014,mining,total,TRUE,mining,mining|_total,512988022,265557862,372171,247430160,7.254964717285349e-4,0.001504145654676859
2014,mining,oil and gas extraction,FALSE,oil and gas extraction,mining|oil_and_gas_extraction,277953877,134668648,82378,143285229,2.963729122583888e-4,5.749231834636633e-4
2014,mining,coal mining,FALSE,coal mining,mining|coal_mining,26856806,16122534,15808,10734272,5.886031272668835e-4,0.001472666241362246
2014,mining,metal ore mining,FALSE,metal ore mining,mining|metal_ore_mining,53485307,32832676,7330,20652631,1.3704698376322305e-4,3.5491846050994666e-4
2014,mining,nonmetallic mineral mining and quarrying,FALSE,nonmetallic mineral mining and quarrying,mining|nonmetallic_mineral_mining_and_quarrying,29786455,19283580,57144,10502875,0.0019184558887588336,0.005440795972531331
2014,mining,support activities for mining,FALSE,support activities for mining,mining|support_activities_for_mining,124905578,62650425,209511,62255153,0.0016773550337359634,0.0033653599726917384
2014,utilities,total,TRUE,utilities,utilities|_total,591790963,339625222,1037701,252165741,0.0017534924743350636,0.004115154564156278
2014,utilities,"electric power generation, transmission, and distribution",FALSE,"electric power generation, transmission, and distribution",utilities|electric_power_generation_transmission_and_distribution,315684811,183533441,664800,132151370,0.0021058979616222335,0.005030594839841615
2014,utilities,natural gas distribution,FALSE,natural gas distribution,utilities|natural_gas_distribution,79850682,59395811,72589,20454871,9.090592363381442e-4,0.003548739075401649
2014,utilities,"water, sewage, and other systems",FALSE,"water, sewage, and other systems",utilities|water_sewage_and_other_systems,11253420,3708975,22869,7544445,0.002032182216606152,0.0030312368901887414
2014,utilities,combination gas and electric,FALSE,combination gas and electric,utilities|combination_gas_and_electric,185002050,92986995,277443,92015055,0.0014996752738685869,0.0030151913727595988
2014,construction,total,TRUE,construction,construction|_total,1434695016,1070028599,4432922,364666417,0.003089800933691959,0.01215610155842785
2014,construction,construction of buildings,FALSE,construction of buildings,construction|construction_of_buildings,547101439,458494063,1462808,88607376,0.002673741825051204,0.01650887393392622
2014,construction,heavy and civil engineering construction,FALSE,heavy and civil engineering construction,construction|heavy_and_civil_engineering_construction,222168013,171237768,189194,50930245,8.515807358820822e-4,0.0037147671290409068
2014,construction,land subdivision,FALSE,land subdivision,construction|land_subdivision,16439775,11937447,133995,4502328,0.008150658996245386,0.02976127016956561
2014,construction,electrical contractors,FALSE,electrical contractors,construction|electrical_contractors,109814724,75564090,223171,34250634,0.0020322502472437123,0.006515820991809962
2014,construction,"plumbing, heating, and air-conditioning contractors",FALSE,"plumbing, heating, and air-conditioning contractors",construction|plumbing_heating_and_air_conditioning_contractors,132630550,87162990,995705,45467560,0.007507357844780105,0.0218992398096577
2014,construction,other specialty trade contractors,FALSE,other specialty trade contractors,construction|other_specialty_trade_contractors,406540515,265632241,1428048,140908274,0.0035126831085949698,0.010134592948033698
2014,manufacturing,total,TRUE,manufacturing,manufacturing|_total,8067907032,5987530325,84332324,2080376707,0.010452813061121054,0.04053704490933814
2014,manufacturing,animal food manufacturing and grain and oilseed milling,FALSE,animal food manufacturing and grain and oilseed milling,manufacturing|animal_food_manufacturing_and_grain_and_oilseed_milling,139101885,112506510,5072964,26595375,0.03646941233039366,0.19074609777075902
2014,manufacturing,sugar and confectionery product,FALSE,sugar and confectionery product,manufacturing|sugar_and_confectionery_product,41823697,25708170,2546875,16115527,0.060895501418729195,0.15803857981187955
2014,manufacturing,fruit and vegetable preserving and specialty food manufacturing,FALSE,fruit and vegetable preserving and specialty food manufacturing,manufacturing|fruit_and_vegetable_preserving_and_specialty_food_manufacturing,56992304,39568907,1380453,17423397,0.024221744044599425,0.07922984249282732
2014,manufacturing,dairy product,FALSE,dairy product,manufacturing|dairy_product,66819339,54206252,842366,12613087,0.01260661976916593,0.06678507807010291
2014,manufacturing,meat and seafood processing,FALSE,meat and seafood processing,manufacturing|meat_and_seafood_processing,171053533,144466046,1259319,26587487,0.00736213381807203,0.047365100733288555
2014,manufacturing,bakeries and tortilla manufacturing,FALSE,bakeries and tortilla manufacturing,manufacturing|bakeries_and_tortilla_manufacturing,45973888,29609782,509812,16364106,0.011089164353469518,0.031154283649837026
2014,manufacturing,other food,FALSE,other food,manufacturing|other_food,176797446,119169916,5237117,57627530,0.02962213040113713,0.09087873452150387
2014,manufacturing,soft drink and ice,FALSE,soft drink and ice,manufacturing|soft_drink_and_ice,59844330,30417077,1868205,29427253,0.031217744437944246,0.06348553838851353
2014,manufacturing,breweries,FALSE,breweries,manufacturing|breweries,23822655,10333085,1022916,13489570,0.04293879082747074,0.07583014136106636
2014,manufacturing,wineries and distilleries,FALSE,wineries and distilleries,manufacturing|wineries_and_distilleries,34837085,19653693,1832777,15183392,0.05260994138860929,0.12070932503092853
2014,manufacturing,tobacco manufacturing,FALSE,tobacco manufacturing,manufacturing|tobacco_manufacturing,46915110,17236208,398947,29678902,0.008503592978893155,0.0134421077976537
2014,manufacturing,textile mills,FALSE,textile mills,manufacturing|textile_mills,16520729,11866166,119715,4654563,0.0072463509328190056,0.02571992257919809
2014,manufacturing,textile product mills,FALSE,textile product mills,manufacturing|textile_product_mills,23218573,15864151,128642,7354422,0.005540478305880383,0.01749178929357059
2014,manufacturing,apparel knitting mills,FALSE,apparel knitting mills,manufacturing|apparel_knitting_mills,3063139,2272312,73185,790827,0.023892157685302562,0.09254236387983718
2014,manufacturing,cut and sew apparel contractors and manufacturers,FALSE,cut and sew apparel contractors and manufacturers,manufacturing|cut_and_sew_apparel_contractors_and_manufacturers,32052548,20700594,778497,11351954,0.024288147076482032,0.0685782377201317
2014,manufacturing,apparel accessories and other apparel,FALSE,apparel accessories and other apparel,manufacturing|apparel_accessories_and_other_apparel,2283680,1415349,66502,868331,0.029120542282631542,0.07658600234242471
2014,manufacturing,leather and allied product manufacturing,FALSE,leather and allied product manufacturing,manufacturing|leather_and_allied_product_manufacturing,10973612,7358782,419358,3614830,0.03821512916622166,0.11601043479223089
2014,manufacturing,wood product manufacturing,FALSE,wood product manufacturing,manufacturing|wood_product_manufacturing,87081349,65598454,372019,21482895,0.0042720858630704035,0.01731698637450865
2014,manufacturing,"pulp, paper, and paperboard mills",FALSE,"pulp, paper, and paperboard mills",manufacturing|pulp_paper_and_paperboard_mills,60955619,46389530,112187,14566089,0.0018404701952087468,0.007701930147481592
2014,manufacturing,converted paper product,FALSE,converted paper product,manufacturing|converted_paper_product,107225793,74127740,699816,33098053,0.006526563995661007,0.021143721052111434
2014,manufacturing,printing and related support activities,FALSE,printing and related support activities,manufacturing|printing_and_related_support_activities,78401269,49095921,754758,29305348,0.009626859483613715,0.02575495776402314
2014,manufacturing,petroleum refineries (including integrated),FALSE,petroleum refineries (including integrated),manufacturing|petroleum_refineries_including_integrated_,2000022317,1818517637,1049323,181504680,5.246556456299783e-4,0.005781244869278302
